# Chunk-averaged data for fix profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass v_disp v_vx v_vy v_vz v_s22 v_s11 v_s33 v_vo
100 50 17279.8
  1 0.01 2 0.000897536 -0.00715601 -5.11182 0.177746 -1.21664 -1.3187 -0.212121 -0.245369 791.7
  2 0.03 17.2 0.109715 -0.0287434 -0.0353175 -2.79938 -0.371941 -33.6066 -89.3779 -70.4711 221.114
  3 0.05 296.8 1.62719 -0.0173003 0.0620807 -2.02347 0.047793 -61.6619 -11.7167 -25.8906 19.6171
  4 0.07 354.6 1.90864 -0.0157913 -0.0932567 -1.94874 0.0290903 17.0719 18.563 31.1008 10.3756
  5 0.09 385 2.05526 -0.0154836 -0.0467805 -1.90763 -0.0246627 -3.63934 -33.0201 -7.64749 10.0371
  6 0.11 368 2.00545 -0.0147179 0.0410755 -1.88305 0.0290929 11.6434 1.47105 -9.78123 9.91463
  7 0.13 356.4 1.90817 -0.0157996 0.0462201 -1.91444 -0.0149287 -21.9602 6.08497 10.8215 10.0862
  8 0.15 377.6 2.07319 -0.0157861 0.0217715 -2.00662 0.0253128 -3.69413 -2.05313 3.69602 10.312
  9 0.17 374.8 2.05555 -0.0159047 -0.0484921 -1.95933 0.0298186 -18.4699 -10.2707 6.97259 10.3974
  10 0.19 345.2 1.87031 -0.0157505 -0.00069788 -1.99311 0.00812506 -18.9083 25.8024 0.757837 10.1059
  11 0.21 368.4 1.9807 -0.015629 0.0141812 -1.99997 0.0438203 2.88531 -13.6687 8.37074 10.2044
  12 0.23 371.6 1.97946 -0.0162017 0.00197902 -1.9849 -0.0278624 36.772 -1.83831 19.6577 10.2055
  13 0.25 347.2 1.90227 -0.0160844 0.0193548 -2.02511 0.0125378 -24.9879 19.728 0.139118 10.1787
  14 0.27 367.2 1.99626 -0.0163753 -0.0326496 -2.06595 0.0750251 -37.109 -22.9878 -4.48242 10.312
  15 0.29 382.4 2.09509 -0.0160505 0.00603638 -1.99204 -0.0664011 -13.8187 -7.75768 15.1259 10.3854
  16 0.31 351.6 1.89072 -0.0158191 0.0681626 -1.95697 0.0236517 -25.7134 14.7419 -6.43348 10.1675
  17 0.33 359.4 1.95743 -0.0161073 -0.0216276 -1.99087 0.0217459 18.9573 16.2857 8.48849 10.1498
  18 0.35 377.6 2.02299 -0.0161551 -0.0214745 -1.98082 0.00655641 9.57293 -26.9669 2.089 10.3459
  19 0.37 356 1.92128 -0.0161149 -0.0137472 -2.0073 0.0260498 3.80848 12.2888 7.56824 10.1228
  20 0.39 354.6 1.91699 -0.0156315 -0.010279 -1.9647 -0.0158328 -29.2053 9.11961 3.52566 10.1908
  21 0.41 384.8 2.10276 -0.0159316 0.00888892 -1.97485 -0.0396381 14.0874 -10.0594 17.8123 10.3529
  22 0.43 362.8 1.98236 -0.0162407 0.0529446 -2.02534 0.0593142 -35.0645 -0.991954 -6.94554 10.2758
  23 0.45 351.6 1.9135 -0.0158857 -0.0646053 -1.99166 0.0151459 -9.87234 4.17893 -2.9808 10.2186
  24 0.47 372.4 1.99067 -0.0158925 -0.0174009 -2.02053 0.00206963 21.9781 -19.2733 0.857339 10.2241
  25 0.49 367 1.97144 -0.0161008 0.00879214 -1.99827 0.00659153 26.9495 15.971 12.5272 10.1781
  26 0.51 345.2 1.86665 -0.0162001 0.032362 -2.00489 0.0235492 -27.3953 8.85213 6.4309 10.1341
  27 0.53 373.2 2.04505 -0.0164376 -0.017814 -2.01635 0.0263416 -22.2189 -9.87039 7.64629 10.3609
  28 0.55 379.2 2.07836 -0.0160679 -0.0536697 -2.02127 0.0707224 -13.2283 0.70856 12.4005 10.4418
  29 0.57 344.2 1.87057 -0.0157777 0.0408641 -1.96163 -0.0274592 -28.956 -3.39392 -6.60664 10.1034
  30 0.59 366.4 1.96521 -0.0155601 0.0150546 -1.92855 0.0285097 10.7705 -3.41675 2.49097 10.1626
  31 0.61 372.8 1.98595 -0.0159811 -0.00373342 -1.96239 0.014876 33.8086 -7.03574 5.15202 10.2604
  32 0.63 352 1.92783 -0.0163652 -0.033283 -2.04361 -0.04843 -6.78621 14.5213 12.9627 10.1984
  33 0.65 360 1.95725 -0.0162031 -0.0531828 -2.00471 0.0761964 -44.8844 -29.3129 -18.2395 10.2588
  34 0.67 385 2.10525 -0.0161189 0.025777 -2.01898 -0.0441164 -3.3433 -13.1168 1.67939 10.4026
  35 0.69 355.6 1.91441 -0.0159246 0.0233103 -1.97849 0.022661 -4.25525 17.3884 18.6574 10.1727
  36 0.71 358.6 1.96241 -0.0162038 -0.0129953 -1.9866 -0.00843615 21.1319 14.4881 9.82706 10.1438
  37 0.73 377.4 2.01409 -0.0161228 -0.0339198 -2.01924 0.034092 15.9848 -11.9344 12.4905 10.3461
  38 0.75 359.8 1.94392 -0.0159656 -0.0236442 -1.99445 0.0582502 3.32245 -4.27352 -0.907069 10.0607
  39 0.77 349.4 1.87931 -0.0157341 0.0222448 -2.00017 -0.0108634 -26.3058 2.30745 2.1634 10.2624
  40 0.79 386 2.11514 -0.0158526 0.0520914 -1.97283 -0.0271118 7.43488 6.62431 12.0756 10.3153
  41 0.81 369 2.0194 -0.0161142 0.00245214 -2.00842 0.0645339 -14.4121 -4.91449 9.54882 10.3385
  42 0.83 343.8 1.8719 -0.0160911 -0.00721541 -1.98591 0.0171543 -7.49952 6.33695 3.24648 10.1957
  43 0.85 369.6 1.97438 -0.0160233 -0.0289188 -1.99929 -0.00781486 -13.9957 -41.0293 -19.8185 10.2011
  44 0.87 369.4 1.97964 -0.0160456 0.0502521 -2.03122 0.0175293 4.67534 -11.1203 -4.37569 10.1473
  45 0.89 349 1.89666 -0.0163272 0.0523561 -1.99426 -0.0480403 -22.9436 13.5822 10.8287 10.1472
  46 0.91 377.4 2.0676 -0.0166373 -0.0131487 -2.04816 0.0354841 -3.76578 5.18898 28.5246 10.1136
  47 0.93 385.6 2.10641 -0.0165017 0.0125937 -2.07648 0.0724423 1.378 -0.115163 -1.35635 10.2858
  48 0.95 358.2 1.93009 -0.0168119 -0.0122057 -2.11648 -0.0077954 -27.1594 -1.03402 6.89046 9.9924
  49 0.97 354.8 1.91594 -0.0159164 0.0326103 -2.06739 0.00503895 37.6747 -2.03024 7.14506 10.5768
  50 0.99 186 1.0081 -0.0136549 0.00275945 -1.86678 0.0617982 -10.6749 -8.51976 6.04886 19.856
200 50 17280
  1 0.01 3 0.00402022 -0.0616932 -2.38098 -1.13758 -1.45416 -26.3028 -135.55 -18.9539 612.365
  2 0.03 26 0.169384 -0.0581159 0.00250367 -2.14364 -0.0814591 66.9291 -36.5642 16.7421 174.134
  3 0.05 329.2 1.79026 -0.0373075 -0.00753624 -1.91566 0.0223532 -31.5382 -14.757 -11.3305 16.5233
  4 0.07 344 1.86678 -0.0353665 -0.0208504 -1.93762 0.0099866 -18.906 9.98874 -8.70581 10.3215
  5 0.09 378.6 2.03586 -0.0339567 -0.0842032 -1.84854 0.00804653 23.2323 3.92142 8.6367 10.0177
  6 0.11 376.2 2.0151 -0.034124 3.99716e-05 -1.92632 0.0317008 14.9077 -0.657659 21.6859 9.95538
  7 0.13 357.4 1.94879 -0.0349803 0.00852169 -1.92959 -0.0246071 13.9741 25.4283 20.7389 10.0651
  8 0.15 363.8 1.98127 -0.0361991 -0.0353582 -2.02466 -0.0121162 -19.6537 -6.57724 7.3749 10.2002
  9 0.17 379.6 2.07281 -0.0357771 -0.0412042 -2.01759 0.00136234 -2.50156 5.55629 37.2862 10.4874
  10 0.19 357 1.93838 -0.0358057 0.0168449 -1.97585 -0.0375249 -37.0459 5.3025 -0.528371 10.1295
  11 0.21 358.8 1.95524 -0.035356 0.0123674 -1.96705 0.000116156 11.5203 23.2704 36.9542 10.161
  12 0.23 376.2 2.00581 -0.0362199 -0.0127281 -2.01669 -0.0286952 3.23508 -29.5664 12.7553 10.2424
  13 0.25 359.2 1.95383 -0.0365385 -0.0334025 -2.01564 0.0151259 -2.19362 6.39676 5.50523 10.1512
  14 0.27 349.4 1.88585 -0.0362709 -0.0230059 -1.96437 -0.0100121 -39.6799 -1.0676 -0.212498 10.2427
  15 0.29 380.8 2.08378 -0.0356421 0.010098 -1.96308 -0.0140397 -19.0917 -15.6438 -3.67054 10.4192
  16 0.31 369.6 2.02147 -0.0353688 -0.000575887 -1.99576 0.0254288 -26.7266 -1.97716 2.32084 10.2497
  17 0.33 349 1.90171 -0.0364237 -0.0108968 -2.02934 0.0314949 -19.0694 3.38705 -1.02298 10.1693
  18 0.35 369 1.97346 -0.0361295 0.00452018 -2.02257 0.0451868 4.05884 4.84158 15.6896 10.2465
  19 0.37 368.6 1.99056 -0.0360261 -0.0338598 -2.01688 -0.0225043 7.84082 -5.43899 16.4674 10.201
  20 0.39 342.6 1.85215 -0.0357176 0.0288558 -2.00599 0.00579987 -11.522 36.1446 21.7717 10.1859
  21 0.41 378 2.07425 -0.0358055 0.0102699 -1.99824 -0.00136315 -13.6268 -3.51949 9.24188 10.2246
  22 0.43 378 2.07637 -0.0363379 -0.0239903 -2.02527 -0.016414 -10.3718 -5.29763 21.0664 10.4343
  23 0.45 339.6 1.83307 -0.0361588 -0.0135108 -2.01034 0.035183 -37.4079 -4.3798 -9.15702 10.2402
  24 0.47 369.2 1.99129 -0.0357879 -0.00747545 -1.97997 0.00200112 21.1522 8.00246 3.43714 10.1078
  25 0.49 373.4 2.00295 -0.0357637 0.0206589 -1.9825 0.0491428 13.9256 -8.44091 19.3363 10.3116
  26 0.51 354.2 1.925 -0.0359782 0.0124395 -1.9706 -0.0328525 17.2105 23.3624 12.139 10.0799
  27 0.53 361.2 1.96745 -0.0367992 -0.0447234 -1.98456 0.0202895 -34.1255 -1.73219 19.3826 10.2408
  28 0.55 380.6 2.07379 -0.0361161 -0.0804653 -2.00125 -0.00643555 4.59318 6.39131 30.8152 10.5142
  29 0.57 354 1.92794 -0.0355076 0.0080801 -2.02397 -0.0254818 -38.3266 16.1531 -2.47018 10.1312
  30 0.59 360.8 1.96558 -0.0350145 0.0493974 -1.99914 0.0219602 8.393 15.9999 -0.893501 10.1483
  31 0.61 376.4 2.00492 -0.0359386 -0.0469111 -2.04803 -0.0370155 30.0475 -10.4945 38.4559 10.258
  32 0.63 360.6 1.96283 -0.0367202 -0.0313962 -2.01141 0.0432153 20.9883 15.6625 31.6349 10.1583
  33 0.65 347.4 1.86785 -0.0360984 -0.0118993 -1.96691 -0.00193029 -48.6635 -10.5156 -2.81851 10.2086
  34 0.67 382 2.09162 -0.0358477 0.0259836 -1.94502 -0.0238273 -17.054 -23.2386 -6.71309 10.4188
  35 0.69 372.4 2.03654 -0.0357563 0.0300519 -1.99748 0.0387781 -26.6418 -7.35175 13.5169 10.2541
  36 0.71 343.4 1.87781 -0.0362161 -0.00535262 -1.99851 0.00821439 -8.6209 6.50954 15.6328 10.1577
  37 0.73 370.4 1.97908 -0.0364928 -0.0813624 -2.02052 0.00187035 -6.12697 -8.7276 9.63568 10.2664
  38 0.75 368.6 1.987 -0.0359624 0.0146589 -1.99249 0.0101246 -7.59159 -25.7339 -3.06989 10.1758
  39 0.77 342.6 1.84867 -0.0356065 0.0312342 -1.97878 -0.0118587 -24.1357 14.0165 5.68663 10.2102
  40 0.79 379.4 2.08852 -0.0358534 0.0119612 -2.00551 0.00438807 -2.82773 -0.425844 21.4383 10.2192
  41 0.81 377.8 2.07326 -0.0363232 -0.0285422 -2.00651 0.0231518 -13.5158 -2.18063 26.4671 10.4226
  42 0.83 339.2 1.83547 -0.0362473 -0.0470609 -1.98551 0.00041036 -56.3068 -14.7194 -8.46539 10.2513
  43 0.85 369.2 1.99031 -0.035854 -0.0167162 -1.99562 0.0042807 2.8828 9.20779 -1.79575 10.1233
  44 0.87 374.6 2.00366 -0.0362776 -0.00739832 -2.00243 0.00250322 -4.08348 -40.0944 4.35503 10.2826
  45 0.89 356.4 1.94462 -0.0364797 -0.0230782 -2.0197 -0.0298188 -9.00275 8.42089 -8.22629 10.0639
  46 0.91 365.2 1.97059 -0.0372297 -0.0294899 -2.06289 0.0145374 -15.4986 2.71148 18.1289 10.04
  47 0.93 386.8 2.11624 -0.0377168 -0.014572 -2.11484 0.013671 18.3975 14.0658 18.8035 10.2578
  48 0.95 376 2.06391 -0.0375043 -0.00751068 -2.04392 0.0443021 -15.683 -4.81453 9.72652 10.0818
  49 0.97 335.8 1.7847 -0.0367552 -0.00174486 -2.02347 -0.00620876 -21.4639 -12.9367 -26.5531 10.7087
  50 0.99 168.8 0.927926 -0.0292497 -0.0322641 -2.1027 -0.0418513 -5.99655 -13.6572 -16.2192 21.8283
300 50 17280
  1 0.01 2.4 0.00241268 -0.0128051 -3.73191 4.29053 -0.777528 22.3314 -23.5218 1.8137 663.785
  2 0.03 27.2 0.170781 -0.0829282 0.0528312 -2.29549 0.354363 -56.5989 -71.9916 -82.496 161.966
  3 0.05 318 1.74226 -0.0571834 0.111308 -2.07808 -0.0323249 -26.5683 -20.9857 -13.4507 16.5989
  4 0.07 344.8 1.8528 -0.0549592 0.0212506 -1.9775 0.0283913 19.003 11.7411 -8.40543 10.3208
  5 0.09 382.6 2.05523 -0.0529954 -0.0228696 -1.94935 -0.0506178 1.3321 -9.90608 23.0777 10.0481
  6 0.11 377.6 2.02772 -0.0529931 0.0302445 -1.87853 0.0175677 9.3027 -5.51322 23.5377 9.96521
  7 0.13 351.2 1.91495 -0.054829 0.123527 -1.98107 -0.0249471 -11.4284 5.98288 5.1608 10.0512
  8 0.15 367.6 2.00024 -0.0557701 0.0190639 -1.95796 -0.0313391 -39.2837 -23.7804 -3.13577 10.1974
  9 0.17 382.2 2.10204 -0.0558738 -6.90116e-05 -1.99507 0.0133911 -14.4607 4.2478 31.7631 10.4805
  10 0.19 348.6 1.8714 -0.0554839 -0.000666836 -1.98452 -0.0260094 -38.466 2.34133 0.858602 10.172
  11 0.21 360.8 1.96248 -0.0552856 0.0635446 -2.0321 0.0282975 11.6166 13.5635 11.8671 10.0829
  12 0.23 381.4 2.04284 -0.0566761 0.0194106 -2.03909 -0.0093674 -8.79421 -29.7065 13.5365 10.2757
  13 0.25 355.6 1.92603 -0.0566918 0.0176318 -2.01083 0.00378755 9.98044 -0.106827 15.8672 10.1769
  14 0.27 351 1.90801 -0.0562236 -0.0421547 -2.04545 0.0215738 -22.1668 23.4764 17.6075 10.225
  15 0.29 385.2 2.08923 -0.0556833 0.0150261 -2.03687 -0.039225 -12.929 -10.8198 -3.37293 10.4216
  16 0.31 364.6 1.98919 -0.0553986 0.0684962 -1.98156 0.0216043 -16.8513 10.624 29.6853 10.1567
  17 0.33 350.2 1.91406 -0.0567539 -0.0261932 -2.03867 -0.0309749 -9.91172 -7.85559 1.02713 10.1719
  18 0.35 374 1.99697 -0.0563446 -0.0240419 -1.98475 -0.0342545 21.7976 0.672425 25.8156 10.2963
  19 0.37 361.6 1.94858 -0.056361 -0.0195375 -1.99613 0.0562784 19.274 -8.71392 8.41869 10.168
  20 0.39 347 1.87594 -0.0553433 0.0648668 -1.96448 0.00753648 -39.5802 5.35261 7.73047 10.1951
  21 0.41 380.4 2.08913 -0.0557856 0.0545395 -1.9951 0.00179211 -35.147 -28.753 -16.3966 10.2985
  22 0.43 375.2 2.05688 -0.0565745 -0.0465203 -2.00025 -0.00497192 -39.194 -34.016 9.74031 10.3702
  23 0.45 341.6 1.85641 -0.0561683 -0.0265967 -1.99753 0.0432282 -26.0551 17.901 -2.00994 10.2597
  24 0.47 367.6 1.96695 -0.0558556 -0.0162694 -2.0569 0.0297404 -10.3774 -18.3511 7.21212 10.1466
  25 0.49 370.4 1.97844 -0.0558407 0.0271253 -2.03079 4.81044e-05 2.51904 -24.668 22.8436 10.2341
  26 0.51 353.2 1.92377 -0.0562376 0.0586362 -2.0411 -0.0474608 -1.77215 16.4237 11.7523 10.1436
  27 0.53 365.6 2.00344 -0.0569222 0.00280563 -1.98601 -0.0381077 -33.2606 -25.636 12.7796 10.2288
  28 0.55 377.6 2.06186 -0.0560746 -0.0601664 -2.01541 -0.000381189 -9.43109 -3.93927 16.8015 10.5216
  29 0.57 355 1.90928 -0.0555829 0.049925 -1.99609 0.0175339 -30.933 10.8924 10.3551 10.1463
  30 0.59 358.6 1.95445 -0.0555748 0.00011805 -2.04479 -0.000450841 -2.32007 10.2323 7.18682 10.0914
